sample_index,monotonic_timestamp,session_elapsed_seconds,tp9,af7,af8,tp10,aux_right,headband_on,hsi_tp9,hsi_af7,hsi_af8,hsi_tp10,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,blink,jaw_clench
0,0.0,0.0,82.0,80.0,78.0,84.0,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
1,0.00390625,0.00390625,97.305524,93.885849,93.417168,100.7252,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
2,0.0078125,0.0078125,110.561669,106.083868,106.941568,115.039469,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
3,0.01171875,0.01171875,120.086391,115.201521,117.012459,124.97126,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
4,0.015625,0.015625,124.862553,120.380999,122.670318,129.344107,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
5,0.01953125,0.01953125,124.709339,121.437653,123.712414,127.981025,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
6,0.0234375,0.0234375,120.2953,118.871606,120.705726,121.718993,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
7,0.02734375,0.02734375,112.991162,113.751028,114.855494,112.231296,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
8,0.03125,0.03125,104.591223,107.490079,107.75531,101.692366,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
9,0.03515625,0.03515625,96.957275,101.564687,101.06728,92.349864,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
10,0.0390625,0.0390625,91.653786,97.221077,96.194075,86.086496,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
11,0.04296875,0.04296875,89.644584,95.233286,94.006115,84.055882,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
12,0.046875,0.046875,91.109398,95.756306,94.676365,86.46249,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
13,0.05078125,0.05078125,95.415418,98.302999,97.654405,92.527837,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
14,0.0546875,0.0546875,101.249164,101.849032,101.784553,100.649297,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
15,0.05859375,0.05859375,106.883039,105.045338,105.544985,108.72074,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
16,0.0625,0.0625,110.524951,106.496847,107.361418,114.553055,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17,0.06640625,0.06640625,110.683355,105.053376,105.934516,116.313333,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18,0.0703125,0.0703125,106.476992,100.056159,100.517388,112.897826,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19,0.07421875,0.07421875,97.829171,91.491905,91.089071,104.166437,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
20,0.078125,0.078125,85.508537,80.024003,78.389819,90.993071,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
21,0.08203125,0.08203125,71.007746,66.89403,63.810476,75.121463,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
22,0.0859375,0.0859375,56.282559,53.711631,49.156261,58.853487,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
23,0.08984375,0.08984375,43.400698,42.172279,36.32942,44.629118,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
24,0.09375,0.09375,34.167181,33.756324,26.990803,34.578038,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
25,0.09765625,0.09765625,29.797406,29.466394,22.26458,30.128419,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
26,0.1015625,0.1015625,30.700201,29.652939,22.542082,31.747464,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
27,0.10546875,0.10546875,36.411989,33.960876,27.421867,38.863101,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
28,0.109375,0.109375,45.694355,41.407179,35.79707,49.981531,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
29,0.11328125,0.11328125,56.77603,50.574238,46.072952,62.977823,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
30,0.1171875,0.1171875,67.692685,59.88171,56.472736,75.50366,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
31,0.12109375,0.12109375,76.659313,67.884691,65.373019,85.433935,,True,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False
